year,state,atkin05,gini,rmeandev,theil,top10,top1
1917,"Massachusetts",.3028832,.5803865,.9194365,.8961898,.5353073,.2085593
1917,"Michigan",.2369495,.4890373,.7642931,.7568675,.4646021,.1968376
1917,"Minnesota",.2053735,.4457149,.6927483,.6224405,.4344742,.1809838
1917,"Mississippi",.1690168,.4367454,.6588983,.4414316,.3894789,.1180744
1917,"Missouri",.2125845,.4690068,.7240265,.6315846,.4402332,.1721555
1917,"Montana",.1236007,.3548689,.5309933,.3395584,.3321846,.1071396
1917,"Nebraska",.0951104,.3055267,.4450648,.2582904,.2895687,.0951514
1917,"Nevada",.0947662,.3152675,.4717289,.2378982,.2990159,.0828455
1917,"New Hampshire",.2146033,.4840297,.7445205,.6013513,.44296,.1524823
1917,"New Jersey",.2518684,.5121974,.7982343,.7841388,.4791098,.2030995
1917,"New Mexico",.1696843,.4189139,.640919,.4745524,.3915952,.1404118
1917,"New York",.3701654,.6293978,1.005979,1.301637,.5899176,.288991
1917,"North Carolina",.1821762,.4304046,.6519025,.5406494,.4004293,.1540129
1917,"North Dakota",.0741245,.2769402,.4025306,.1846592,.2657606,.0713279
1917,"Ohio",.2623675,.5185953,.8144308,.8514146,.4899792,.2135302
1917,"Oklahoma",.1791484,.4180741,.6326088,.5553773,.3953623,.1596643
1917,"Oregon",.1768194,.4251848,.6447232,.5310183,.3922373,.1477148
1917,"Pennsylvania",.2974758,.5597867,.8846812,.9536943,.5264294,.2352823
1917,"Rhode Island",.3468668,.6065252,.9669531,1.162148,.5682013,.2811775
1917,"South Carolina",.1311351,.3680524,.5471678,.3703593,.3383336,.108376
1917,"South Dakota",.0546123,.240182,.34626,.1320856,.2326842,.057507
1917,"Tennessee",.1578072,.416274,.6356991,.4126967,.3822833,.1103526
1917,"Texas",.1709439,.4157876,.6319786,.5125431,.3859382,.1449386
1917,"Utah",.1733126,.4223428,.6432587,.4943387,.3945765,.144727
1917,"Vermont",.2532344,.5100236,.791752,.8058209,.4763159,.2129676
1917,"Virginia",.178644,.4358495,.6655838,.5011142,.4017398,.1376745
1917,"Washington",.1563577,.3978192,.6010008,.448431,.3732752,.1348073
1917,"West Virginia",.219669,.4826611,.7498643,.6288427,.452274,.1684734
