"lon","lat","cartograph","id"
47.34056,39.7933300000001,"dashed",23
47.3394400000001,39.78666,"dashed",23
47.3386100000001,39.7800000000001,"dashed",23
47.3366600000001,39.7741700000001,"dashed",23
47.335,39.7680500000001,"dashed",23
47.33306,39.7622200000001,"dashed",23
47.3313900000001,39.7563900000001,"dashed",23
47.3288900000001,39.75111,"dashed",23
47.3261100000001,39.74611,"dashed",23
47.3227800000001,39.7416700000001,"dashed",23
47.3172200000001,39.7394400000001,"dashed",23
47.31167,39.73722,"dashed",23
47.30528,39.7358300000001,"dashed",23
47.29972,39.7336100000001,"dashed",23
47.2933300000001,39.73222,"dashed",23
47.28695,39.7308300000001,"dashed",23
47.28139,39.7286100000001,"dashed",23
47.275,39.72722,"dashed",23
47.2686100000001,39.7255600000001,"dashed",23
47.2622200000001,39.7241700000001,"dashed",23
47.2558300000001,39.7227800000001,"dashed",23
47.24944,39.72139,"dashed",23
47.2438900000001,39.7191700000001,"dashed",23
47.2375000000001,39.7177800000001,"dashed",23
47.2311100000001,39.7161100000001,"dashed",23
47.2250000000001,39.7147200000001,"dashed",23
47.2186100000001,39.71333,"dashed",23
47.21223,39.7119400000001,"dashed",23
47.205,39.7111100000001,"dashed",23
47.1986100000001,39.7097200000001,"dashed",23
47.1922200000001,39.70833,"dashed",23
47.1858300000001,39.7069400000001,"dashed",23
47.1788900000001,39.7061100000001,"dashed",23
47.1716700000001,39.7052800000001,"dashed",23
47.1641700000001,39.7066700000001,"dashed",23
47.1583400000001,39.7094400000001,"dashed",23
47.1516700000001,39.7113900000001,"dashed",23
47.1459,39.7118500000001,"dashed",23
47.1447200000001,39.7119400000001,"dashed",23
47.1405600000001,39.70833,"dashed",23
47.1388900000001,39.7022200000001,"dashed",23
47.13818,39.7000800000001,"dashed",23
47.1369500000001,39.6963900000001,"dashed",23
47.13444,39.69111,"dashed",23
47.13111,39.68667,"dashed",23
47.1277800000001,39.6825000000001,"dashed",23
47.1247200000001,39.6780600000001,"dashed",23
47.12055,39.6741700000001,"dashed",23
47.1150000000001,39.6719400000001,"dashed",23
47.10945,39.6700000000001,"dashed",23
