"Unique Key","Created Date","Closed Date","Complaint Type","Location"
13039874,"01/28/2009 12:00:00 AM","","Rodent","(40.7400781844654, -73.85784912389866)"
14498116,"07/29/2009 12:00:00 AM","07/29/2009 12:00:00 AM","Industrial Waste","(40.67474170770232, -73.9977684516665)"
13019644,"01/25/2009 12:00:00 AM","01/25/2009 12:00:00 AM","Water System","(40.726367780578755, -73.85106668445529)"
14861459,"09/15/2009 12:00:00 AM","09/18/2009 12:00:00 AM","Street Condition","(40.71185035045145, -73.73014211095735)"
14875968,"09/16/2009 12:00:00 AM","09/24/2009 12:00:00 AM","Noise",""
14510543,"07/31/2009 12:00:00 AM","08/01/2009 12:00:00 AM","Noise - Street/Sidewalk","(40.70425963354509, -73.89707968578305)"
15144793,"10/24/2009 12:00:00 AM","10/24/2009 12:00:00 AM","Noise - Street/Sidewalk","(40.73529333298005, -73.98781816899559)"
14486720,"07/28/2009 12:00:00 AM","07/31/2009 12:00:00 AM","PAINT - PLASTER","(40.6586028985231, -73.91729769344583)"
14928635,"09/23/2009 12:00:00 AM","09/24/2009 12:00:00 AM","Dirty Conditions","(40.737181038286636, -73.8755873197803)"
14810419,"09/07/2009 12:00:00 AM","09/28/2009 12:00:00 AM","PLUMBING","(40.85006235011172, -73.853460912465)"
15366173,"11/24/2009 12:00:00 AM","11/18/2009 12:00:00 AM","Street Light Condition",""
13503025,"04/06/2009 12:00:00 AM","04/28/2009 12:00:00 AM","Taxi Complaint","(40.732848329178424, -73.99591548380599)"
14676441,"08/19/2009 12:00:00 AM","08/19/2009 12:00:00 AM","Vending","(40.82289138678404, -73.94207096675898)"
13148041,"02/11/2009 12:00:00 AM","02/17/2009 12:00:00 AM","GENERAL CONSTRUCTION","(40.82593250349608, -73.88943368218916)"
14986725,"10/02/2009 12:00:00 AM","09/28/2009 12:00:00 AM","Street Light Condition","(40.85828871662558, -73.91020973840301)"
13562719,"04/14/2009 12:00:00 AM","04/21/2009 12:00:00 AM","PAINT - PLASTER","(40.82332584894923, -73.89932717337905)"
13779095,"04/23/2009 12:00:00 AM","04/28/2009 12:00:00 AM","General Construction/Plumbing","(40.70741244107276, -73.78654983276856)"
14927641,"09/24/2009 12:00:00 AM","09/25/2009 12:00:00 AM","HEATING","(40.83957144885093, -73.89890866121009)"
15845344,"06/22/2009 12:00:00 AM","06/22/2009 12:00:00 AM","Building/Use","(40.81822622084077, -73.86222356586094)"
15252339,"11/08/2009 12:00:00 AM","11/09/2009 12:00:00 AM","Noise","(40.78835757573873, -73.972587090614)"
14540335,"08/03/2009 12:00:00 AM","08/03/2009 12:00:00 AM","Traffic Signal Condition","(40.83416322883345, -73.92221818579506)"
14261057,"06/24/2009 12:00:00 AM","07/09/2009 12:00:00 AM","Street Condition","(40.632744704299924, -73.97928740225622)"
14198423,"06/17/2009 12:00:00 AM","06/17/2009 12:00:00 AM","Derelict Vehicle","(40.685399600705786, -73.96418856041329)"
13235207,"02/24/2009 12:00:00 AM","03/06/2009 12:00:00 AM","GENERAL CONSTRUCTION","(40.71893358427464, -73.9594699997005)"
15272212,"11/11/2009 12:00:00 AM","12/01/2009 12:00:00 AM","GENERAL CONSTRUCTION","(40.855252679586975, -73.92937988720263)"
15861633,"12/03/2009 12:00:00 AM","12/08/2009 12:00:00 AM","Special Enforcement","(40.69798717777373, -73.93346656921103)"
15541418,"12/18/2009 12:00:00 AM","12/18/2009 12:00:00 AM","Street Light Condition",""
13002095,"01/23/2009 12:00:00 AM","01/23/2009 12:00:00 AM","Blocked Driveway","(40.7155146941738, -73.78638320085419)"
15067265,"10/14/2009 12:00:00 AM","11/09/2009 12:00:00 AM","APPLIANCE","(40.84004406278686, -73.91301717836832)"
13836940,"04/30/2009 12:00:00 AM","05/01/2009 12:00:00 AM","DCA / DOH New License Application Request",""
13024189,"01/26/2009 12:00:00 AM","02/05/2009 12:00:00 AM","PLUMBING","(40.80996679238097, -73.95502909795141)"
13893516,"05/06/2009 12:00:00 AM","05/06/2009 12:00:00 AM","Sewer","(40.63944455572214, -73.91764932740364)"
13109375,"02/06/2009 12:00:00 AM","02/06/2009 12:00:00 AM","Traffic Signal Condition",""
13509479,"04/06/2009 12:00:00 AM","05/08/2009 12:00:00 AM","PLUMBING","(40.6938222171795, -73.76364393098717)"
15127990,"10/21/2009 12:00:00 AM","10/21/2009 12:00:00 AM","Traffic Signal Condition","(40.611476767821074, -73.94882027149525)"
13230692,"02/23/2009 12:00:00 AM","05/04/2009 12:00:00 AM","Street Light Condition",""
12888330,"01/09/2009 12:00:00 AM","01/11/2009 12:00:00 AM","HEATING","(40.60720351864499, -73.9979327739535)"
13093123,"02/04/2009 12:00:00 AM","","Rodent","(40.80786490799204, -73.94977101352988)"
14886276,"09/18/2009 12:00:00 AM","09/18/2009 12:00:00 AM","DCA / DOH New License Application Request",""
15525377,"12/17/2009 12:00:00 AM","12/18/2009 12:00:00 AM","DCA / DOH New License Application Request",""
13142939,"02/10/2009 12:00:00 AM","04/16/2009 12:00:00 AM","Street Light Condition",""
15119469,"10/20/2009 12:00:00 AM","01/12/2010 12:00:00 AM","Building/Use","(40.75730034222523, -73.88930576560264)"
14751015,"08/29/2009 12:00:00 AM","09/16/2009 12:00:00 AM","Sidewalk Condition","(40.629800407149865, -74.11055841370829)"
