"Unique Key","Created Date","Closed Date","Complaint Type","Location"
5066628,"05/24/2007 12:00:00 AM","07/12/2007 12:00:00 AM","Building/Use","(40.73802268230921, -73.81042677588177)"
6666507,"07/05/2007 12:00:00 AM","07/05/2007 12:00:00 AM","Noise - Commercial","(40.71728537721257, -73.99239923489985)"
10039219,"12/10/2007 12:00:00 AM","01/28/2008 12:00:00 AM","General Construction/Plumbing","(40.68780227820651, -73.79021841009036)"
3693380,"02/21/2007 12:00:00 AM","02/22/2007 12:00:00 AM","Street Light Condition","(40.67965559988202, -73.885555285273)"
9749238,"11/03/2007 12:00:00 AM","11/30/2007 12:00:00 AM","GENERAL CONSTRUCTION","(40.68975683689178, -73.82666076490864)"
9326718,"09/07/2007 12:00:00 AM","09/18/2007 12:00:00 AM","Street Condition","(40.83270665434407, -73.9050514514857)"
9555830,"10/10/2007 12:00:00 AM","10/10/2007 12:00:00 AM","Water System","(40.53860618517397, -74.16214314828751)"
4161083,"06/04/2007 12:00:00 AM","08/06/2007 12:00:00 AM","Air Quality","(40.80120913751873, -73.96515927044133)"
4344226,"03/09/2007 12:00:00 AM","03/09/2007 12:00:00 AM","Investigations and Discipline (IAD)","(40.70060605967737, -73.9063864563025)"
5380590,"02/22/2007 12:00:00 AM","02/24/2007 12:00:00 AM","Sanitation Condition","(40.89839812809524, -73.8661448426111)"
9289847,"09/02/2007 12:00:00 AM","09/21/2007 12:00:00 AM","Taxi Complaint","(40.67894292402481, -73.83446194265218)"
4194360,"06/12/2007 12:00:00 AM","","Rodent","(40.704201285661156, -73.81524410928496)"
9705687,"10/29/2007 12:00:00 AM","11/07/2007 12:00:00 AM","NONCONST","(40.63855539782207, -73.95881260594241)"
9755921,"11/04/2007 12:00:00 AM","11/08/2007 12:00:00 AM","HEATING","(40.708554413815015, -73.82757853904246)"
7711981,"01/18/2007 12:00:00 AM","01/25/2007 12:00:00 AM","HEATING","(40.76570173129013, -73.93124374763352)"
7031134,"03/10/2007 12:00:00 AM","03/11/2007 12:00:00 AM","HEATING","(40.6737792051301, -73.94013119348826)"
8566625,"03/02/2007 12:00:00 AM","03/10/2007 12:00:00 AM","PAINT - PLASTER","(40.645911799915034, -73.9598783129264)"
5185932,"05/06/2007 12:00:00 AM","06/20/2007 12:00:00 AM","Building/Use","(40.698263315777794, -73.7395051602089)"
8820617,"07/07/2007 12:00:00 AM","07/20/2007 12:00:00 AM","PAINT - PLASTER","(40.609156071962886, -73.9798889756772)"
9729982,"11/01/2007 12:00:00 AM","05/29/2009 12:00:00 AM","Overgrown Tree/Branches","(40.89727999414522, -73.87003192415811)"
8749574,"01/10/2007 12:00:00 AM","01/18/2007 12:00:00 AM","PLUMBING","(40.850136961509634, -73.91758367042492)"
9915621,"11/25/2007 12:00:00 AM","11/25/2007 12:00:00 AM","Water System","(40.76572669803106, -73.98452749241912)"
10061530,"12/13/2007 12:00:00 AM","01/10/2008 12:00:00 AM","PLUMBING","(40.564816843508815, -74.1109943401583)"
14554131,"04/24/2007 12:00:00 AM","10/10/2007 12:00:00 AM","Graffiti","(40.580096178805654, -73.9572394668275)"
4076311,"05/15/2007 12:00:00 AM","05/15/2007 12:00:00 AM","Sewer","(40.609791755229956, -73.96407785270925)"
3641460,"02/08/2007 12:00:00 AM","02/08/2007 12:00:00 AM","Street Condition","(40.825947425930515, -73.88783297385247)"
9697441,"10/28/2007 12:00:00 AM","11/14/2007 12:00:00 AM","HEATING","(40.69446540189143, -73.75618409923284)"
