"Unique Key","Created Date","Closed Date","Complaint Type","Location"
7998176,"12/07/2005 12:00 AM","01/12/2006 12:00 AM","PLUMBING","(40.70071218913509, -73.90866200407376)"
6007505,"11/18/2005 12:00 AM","11/18/2005 12:00 AM","Sanitation Condition","(40.769875671896564, -73.91746638294454)"
3112357,"06/06/2005 12:00 AM","06/08/2005 12:00 AM","Sewer","(40.762006544550786, -73.7884685704754)"
6833210,"07/13/2005 12:00 AM","08/04/2005 12:00 AM","ELECTRIC","(40.6007819975723, -73.98167403896822)"
2551810,"08/18/2005 12:00 AM","12/06/2005 12:00 AM","Indoor Air Quality","(40.73281603654728, -73.86048419316799)"
8275913,"12/29/2005 12:00 AM","01/04/2006 12:00 AM","HEATING","(40.643464799063885, -74.00610775671524)"
7916059,"03/18/2005 12:00 AM","03/18/2005 12:00 AM","HEATING","(40.86000093472806, -73.8996404003774)"
2715724,"03/17/2005 12:00 AM","06/29/2005 12:00 AM","Street Light Condition",""
2431220,"12/30/2005 12:00 AM","12/30/2005 12:00 AM","Traffic Signal Condition",""
8418828,"02/11/2005 12:00 AM","02/16/2005 12:00 AM","HEATING","(40.640228743584316, -73.95617761782636)"
8414396,"04/12/2005 12:00 AM","06/27/2005 12:00 AM","GENERAL CONSTRUCTION","(40.663853415453644, -73.93884969168046)"
7155955,"08/16/2005 12:00 AM","09/22/2005 12:00 AM","GENERAL CONSTRUCTION","(40.84689003602759, -73.93989948945352)"
8761086,"04/04/2005 12:00 AM","04/13/2005 12:00 AM","NONCONST","(40.860280742795865, -73.89946645113287)"
1368032,"12/24/2005 12:00 AM","12/24/2005 12:00 AM","Traffic Signal Condition",""
7076254,"12/14/2005 12:00 AM","12/16/2005 12:00 AM","HEATING","(40.832516243655256, -73.92198522484861)"
8501491,"11/12/2005 12:00 AM","11/17/2005 12:00 AM","HEATING","(40.75438251015758, -73.92274808105955)"
6619850,"09/06/2005 12:00 AM","09/08/2005 12:00 AM","Dirty Conditions","(40.695851684971, -73.80203596637072)"
1301806,"05/28/2005 12:00 AM","05/31/2005 12:00 AM","Consumer Complaint","(40.70448230637917, -73.81419377999184)"
8333699,"06/21/2005 12:00 AM","06/28/2005 12:00 AM","PLUMBING","(40.84322133367736, -73.94179303959838)"
5394468,"10/21/2005 12:00 AM","10/25/2005 12:00 AM","Dirty Conditions","(40.74953639685684, -73.9954091818931)"
5584968,"06/14/2005 12:00 AM","06/15/2005 12:00 AM","Dirty Conditions","(40.67419041070422, -73.88521497263665)"
2961605,"02/23/2005 12:00 AM","02/24/2005 12:00 AM","Water System","(40.64917938181294, -73.96376114223338)"
894937,"08/22/2005 12:00 AM","08/23/2005 12:00 AM","Street Condition","(40.58114930201575, -74.12859686636594)"
3274055,"01/01/2005 12:00 AM","01/05/2005 12:00 AM","Noise","(40.670221696233604, -73.95812255064821)"
8775082,"10/26/2005 12:00 AM","10/28/2005 12:00 AM","HEATING","(40.73049008096459, -73.98847932977434)"
64765,"07/15/2005 12:00 AM","03/12/2007 12:00 AM","Overgrown Tree/Branches","(40.58700010607675, -73.95930524744536)"
2580803,"12/08/2005 12:00 AM","12/08/2005 12:00 AM","Blocked Driveway","(40.75282869439833, -73.94079644903269)"
8404956,"05/07/2005 12:00 AM","05/20/2005 12:00 AM","PLUMBING","(40.800118616663354, -73.93719669118126)"
6804077,"08/30/2005 12:00 AM","09/26/2005 12:00 AM","PAINT - PLASTER","(40.82204752738864, -73.89703119549296)"
6421592,"10/16/2005 12:00 AM","10/18/2005 12:00 AM","Sanitation Condition","(40.71335463788695, -73.7693533831405)"
1577787,"09/03/2005 12:00 AM","09/03/2005 12:00 AM","Noise - Street/Sidewalk","(40.69621403981413, -73.99713303346111)"
4663028,"10/12/2005 12:00 AM","11/03/2005 12:00 AM","General Construction/Plumbing","(40.73634680345415, -73.89505270789314)"
1157829,"03/10/2005 12:00 AM","01/13/2005 12:00 AM","Street Light Condition",""
5726496,"01/29/2005 12:00 AM","01/30/2005 12:00 AM","Sanitation Condition","(40.74764796076448, -73.99430494840932)"
7232185,"10/26/2005 12:00 AM","10/27/2005 12:00 AM","PAINT - PLASTER","(40.70262842422549, -73.99373173926789)"
1277799,"07/21/2005 12:00 AM","07/22/2005 12:00 AM","Graffiti","(40.68027634957934, -73.72632196292061)"
8659030,"11/01/2005 12:00 AM","11/21/2005 12:00 AM","PLUMBING","(40.62846503512712, -74.10321052239243)"
1175221,"09/12/2005 12:00 AM","08/04/2005 12:00 AM","Street Light Condition",""
2515849,"04/01/2005 12:00 AM","05/05/2005 12:00 AM","Root/Sewer/Sidewalk Condition","(40.538251741387214, -74.21719478093607)"
1516163,"04/23/2005 12:00 AM","04/24/2005 12:00 AM","Noise - Street/Sidewalk","(40.657295538072674, -73.91998440216072)"
626538,"03/15/2005 12:00 AM","03/15/2005 12:00 AM","Street Light Condition","(40.72178120834754, -73.74101503195315)"
950252,"12/23/2005 12:00 AM","12/24/2005 12:00 AM","Rodent","(40.59298875033583, -73.93945468789745)"
7899010,"03/27/2005 12:00 AM","03/29/2005 12:00 AM","HEATING","(40.877058946927896, -73.90924783110853)"
5579821,"02/03/2005 12:00 AM","02/03/2005 12:00 AM","Snow","(40.730572421684506, -73.70873144851383)"
2756208,"05/13/2005 12:00 AM","05/13/2005 12:00 AM","Water System","(40.61949589375361, -74.01902630471305)"
7984160,"07/31/2005 12:00 AM","09/01/2005 12:00 AM","GENERAL CONSTRUCTION","(40.74415200030328, -73.97834694751151)"
8663761,"01/29/2005 12:00 AM","02/08/2005 12:00 AM","HEATING","(40.82638647853852, -73.90615530114715)"
3396431,"10/14/2005 12:00 AM","10/14/2005 12:00 AM","Sewer","(40.59657025706974, -73.76983240698142)"
4304124,"03/23/2005 12:00 AM","04/01/2005 12:00 AM","General Construction/Plumbing","(40.618633669727735, -74.16607288266863)"
7904000,"10/19/2005 12:00 AM","02/02/2006 12:00 AM","ELECTRIC","(40.66377223174456, -73.95299380054631)"
2565910,"10/08/2005 12:00 AM","10/08/2005 12:00 AM","Blocked Driveway","(40.72407130168159, -73.89401857374567)"
3276262,"03/04/2005 12:00 AM","03/08/2005 12:00 AM","Water System","(40.69935339520952, -73.81147440405576)"
519471,"05/11/2005 12:00 AM","05/25/2005 12:00 AM","Street Light Condition",""
