"ISO3Code","CountryName","u5mr","u5deaths","arr9015","u5mrproj","u5dproj"
"PER","Peru",16.9,10483,6.20382385546857,7.4,4131
"PHL","Philippines",28,65613,2.92672337824875,19.7,47708
"PLW","Palau",16.4,5,3.15604612203473,10,3
"PNG","Papua New Guinea",57.3,11963,1.7792802338351,41.8,9956
"POL","Poland",5.2,1917,4.80819150366541,2.9,831
"PRK","Democratic People's Republic of Korea",24.9,9271,2.22236655054279,10.3,3487
"PRT","Portugal",3.6,304,5.6276545932905,2.3,169
"PRY","Paraguay",20.5,2780,3.27610970579579,12.5,1666
"PSE","State of Palestine",21.1,3145,2.97586571582463,14.9,2586
"QAT","Qatar",8,226,3.82204578010975,5.2,132
"ROU","Romania",11.1,1882,4.89085994454271,4.6,700
"RUS","Russian Federation",9.6,18542,3.98533375819077,4,5542
"RWA","Rwanda",41.7,14207,5.1682509446271,9.5,3524
"SAU","Saudi Arabia",14.5,9002,4.46734411049824,9.2,5349
"SDN","Sudan",70.1,89488,2.39277428223175,46.4,70390
"SEN","Senegal",47.2,27059,4.3604063960008,16.5,11606
"SGP","Singapore",2.7,145,4.19187422339742,2.3,118
"SLB","Solomon Islands",28.1,470,1.38232644541378,23.9,436
"SLE","Sierra Leone",120.4,26466,3.14506115494209,61.5,14455
"SLV","El Salvador",16.8,1763,5.05166135983754,8.7,767
"SMR","San Marino",2.9,1,5.29620820897068,2.3,1
"SOM","Somalia",136.8,60537,1.10218935994315,107.3,65723
"SRB","Serbia",6.7,619,5.77712647508096,3.6,297
"SSD","South Sudan",92.6,39487,4.02356219447155,47,24379
"STP","Sao Tome and Principe",47.3,297,3.40125417686682,25.1,173
"SUR","Suriname",21.3,209,3.21650275408798,13.2,118
"SVK","Slovakia",7.3,400,3.54276116570175,4.6,217
"SVN","Slovenia",2.6,57,5.54517744447956,2.3,40
"SWE","Sweden",3,343,3.33163649174042,2.3,279
"SWZ","Swaziland",60.7,2221,0.830145576293276,28.7,984
"SYC","Seychelles",13.6,23,0.773162352658115,12.9,17
"SYR","Syrian Arab Republic",12.9,5515,4.2363257996459,7.1,3737
"TCD","Chad",138.7,82728,1.74585001150325,101.1,80043
"TGO","Togo",78.4,19512,2.49260647983726,50.9,15375
"THA","Thailand",12.3,9173,4.40527460106341,6.7,3936
"TJK","Tajikistan",44.8,11799,3.53447979833843,21.6,5041
"TKM","Turkmenistan",51.4,5868,2.26284671297904,32.4,3041
"TLS","Timor-Leste",52.6,2642,4.82424750179755,25.1,1101
"TON","Tonga",16.7,43,1.08431166959898,15.8,43
"TTO","Trinidad and Tobago",20.4,387,1.60876713105278,14.5,214
"TUN","Tunisia",14,2919,5.61597575287717,6.2,983
"TUR","Turkey",13.5,18936,6.83243775976452,4.6,5316
"TUV","Tuvalu",27.1,6,2.98808068200039,17.2,4
"TZA","United Republic of Tanzania",48.7,98180,4.88591132399333,18.2,48715
"UGA","Uganda",54.6,85291,4.92643740211674,20.1,42177
"UKR","Ukraine",9,3997,3.09275955293393,4.4,1611
"URY","Uruguay",10.1,487,3.30918877472214,6.1,275
"USA","United States",6.5,24923,2.17644640559783,5,21436
"UZB","Uzbekistan",39.1,26205,2.41429993083457,24.2,12560
"VCT","Saint Vincent and the Grenadines",18.3,30,1.16708823081322,15.1,21
"VEN","Venezuela (Bolivarian Republic of)",14.9,8946,2.7456525935144,10.2,5772
"VNM","Viet Nam",21.7,34191,3.40233637615209,13.9,18345
"VUT","Vanuatu",27.5,189,1.03263853274184,26.5,216
"WSM","Samoa",17.5,80,2.28714529422271,14.1,66
"YEM","Yemen",41.9,34351,4.41349680971341,18.4,15550
"ZAF","South Africa",40.5,41930,1.56549812403564,21.8,21881
"ZMB","Zambia",64,38990,4.36517563144172,25.1,21239
"ZWE","Zimbabwe",70.7,38087,0.278610878983195,47.2,25654
